Wellname    UWN         UTM NORTH   UTM EAST    MD          TVD         DEVIATION   AZIMUTH     NORTH       EAST        DOGLEG
15/9-15    2628  6462991.44   436817.55     2672.03      2671.7         1.5         321  6463014.73   436804.44        0.13
15/9-15    2628  6462991.44   436817.55     2702.05     2701.71         1.5      322.85  6463015.35   436803.96        0.05
15/9-15    2628  6462991.44   436817.55     2732.07     2731.72         1.5      324.71  6463015.98   436803.49        0.05
15/9-15    2628  6462991.44   436817.55      2762.1     2761.74        1.55      318.85  6463016.61      436803        0.16
15/9-15    2628  6462991.44   436817.55     2792.12     2791.75        1.71      295.38   6463017.1   436802.33        0.68
15/9-15    2628  6462991.44   436817.55     2822.14     2821.75        1.81         290  6463017.46   436801.48        0.19
15/9-15    2628  6462991.44   436817.55     2852.17     2851.77        1.89         290  6463017.79   436800.57        0.08
15/9-15    2628  6462991.44   436817.55     2882.19     2881.77        1.97         290  6463018.14   436799.62        0.08
15/9-15    2628  6462991.44   436817.55     2912.21     2911.77         1.9      287.83  6463018.46   436798.66         0.1
15/9-15    2628  6462991.44   436817.55     2942.23     2941.78        1.74      284.24  6463018.73   436797.74         0.2
15/9-15    2628  6462991.44   436817.55     2972.26     2971.79        1.58      280.65  6463018.92   436796.89        0.19
15/9-15    2628  6462991.44   436817.55     3002.28      3001.8        1.64      282.93  6463019.09   436796.07        0.09
15/9-15    2628  6462991.44   436817.55      3032.3     3031.81         1.9      290.18  6463019.36   436795.18        0.34
15/9-15    2628  6462991.44   436817.55     3062.32     3061.81         1.9       293.2  6463019.72   436794.26         0.1
15/9-15    2628  6462991.44   436817.55     3092.35     3091.83        1.73      293.53   6463020.1   436793.39        0.17
15/9-15    2628  6462991.44   436817.55     3122.37     3121.83        1.57      293.86  6463020.45    436792.6        0.16
15/9-15    2628  6462991.44   436817.55     3152.39     3151.84        1.35      292.82  6463020.75   436791.89        0.22
15/9-15    2628  6462991.44   436817.55     3182.42     3181.87         1.1      290.78  6463020.99    436791.3        0.25
