Data from WELLPATH_ORIGINAL_SURVEY_POINTS_1.ASC has been resampled to 0.2 meters and linearly interpolated between original survey points. Computed 09-NOV-2010

HEADER INFORMATION	
----------------------------------------------------------------	
COMPANY:	Det norske oljeselskap ASA
FIELD:	Exploration - UTM Zone 31
WELL NAME:	15/9-24 Storkinn
WELLBORE NAME:	15/9-24 Storkinn
Drilled From	: Well Ref. Point
KICK OFF DEPTH:	105.50 m
SURVEYNAME:	15/9-24 Storkinn
SURVEYDATE:	24-06-2010
PRINTED DATE:	24-06-2010
----------------------------------------------------------------	
CALCULATION METHOD:	Minimum Curvature
DATUM NAME:	Bredford Dolphin
LAT REFERENCE:	Site
----------------------------------------------------------------	
SLOT EW MAP:	440297.10m
SLOT NS MAP:	6459849.30m
SURFACE LATITUDE MAP:	58° 16' 27.524 N
SURFACE LONGITUDE  MAP:	1° 58' 55.873 E
BOTTOM HOLE MD:	2400.00 m
BOTTOM HOLE TVD:	2399.75 m
BOTTOM HOLE EW MAP:	440297.64m
BOTTOM HOLE NS MAP:	6459853.66m
----------------------------------------------------------------	
WATER DEPTH:	80.50 m
KB-MSL:	25.00 m
SYSTEM DATUM:	Mean Sea Level
----------------------------------------------------------------	
MAP-ZONE:	Zone 31N (0 E to 6 E)
NORTH REFERENCE:	Grid
GEO DATUM:	European 1950 - Mean
VSDIR:	0
----------------------------------------------------------------	
SURVEY TYPE INFORMATION
H  107.00 - 149.20 15/9-24; 36" MWD+SC+SAG : MWD+SC+SAG
H  182.90 - 620.69 15/9-24; 26'' MWD+SC+SAG : MWD+SC+SAG
H  638.70 - 1480.40 15/9-24; 17 1/2'' MWD+SC+SAG : MWD+SC+SAG
H  1508.30 - 2387.90 15/9-24; 8 1/2'' MWD+SC+SAG : MWD+SC+SAG
H  2400.00 - 2400.00 15/9-24; EXTRAPOLATION TO TD : BLIND

----------------------------------------------------------------	
SURVEY LIST	
                MD               Inc               AZI          TVD(RKB)             TVDSS       	X(m)              y(m)                NS                EW               DLS              Vsec
            118.00              0.79            224.47            118.00             93.00         440297.05        6459849.24             -0.06             -0.05              2.42             -0.06
            118.20              0.79            223.67            118.20             93.20         440297.04        6459849.24             -0.06             -0.06              2.39             -0.06
            118.40              0.78            222.87            118.40             93.40         440297.04        6459849.24             -0.06             -0.06              2.36             -0.06
            118.60              0.78            222.07            118.60             93.60         440297.04        6459849.24             -0.06             -0.06              2.33             -0.06
            118.80              0.78            221.27            118.80             93.80         440297.04        6459849.24             -0.06             -0.06              2.30             -0.06
            119.00              0.78            220.46            119.00             94.00         440297.04        6459849.23             -0.07             -0.06              2.27             -0.07
            119.20              0.77            219.66            119.20             94.20         440297.04        6459849.23             -0.07             -0.06              2.24             -0.07
            119.40              0.77            218.86            119.40             94.40         440297.04        6459849.23             -0.07             -0.06              2.21             -0.07
            119.60              0.77            218.06            119.60             94.60         440297.03        6459849.23             -0.07             -0.07              2.18             -0.07
            119.80              0.76            217.26            119.80             94.80         440297.03        6459849.23             -0.07             -0.07              2.15             -0.07
            120.00              0.76            216.45            120.00             95.00         440297.03        6459849.22             -0.08             -0.07              2.12             -0.08
            120.20              0.76            215.65            120.20             95.20         440297.03        6459849.22             -0.08             -0.07              2.09             -0.08
            120.40              0.75            214.85            120.40             95.40         440297.03        6459849.22             -0.08             -0.07              2.06             -0.08
            120.60              0.75            214.05            120.60             95.60         440297.03        6459849.22             -0.08             -0.07              2.03             -0.08
            120.80              0.75            213.24            120.80             95.80         440297.03        6459849.21             -0.09             -0.07              2.00             -0.09
            121.00              0.74            212.44            121.00             96.00         440297.03        6459849.21             -0.09             -0.07              1.97             -0.09
            121.20              0.74            211.64            121.20             96.20         440297.02        6459849.21             -0.09             -0.08              1.94             -0.09
            121.40              0.74            210.84            121.40             96.40         440297.02        6459849.21             -0.09             -0.08              1.91             -0.09
            121.60              0.73            210.04            121.60             96.60         440297.02        6459849.21             -0.09             -0.08              1.88             -0.09
            121.80              0.73            209.23            121.80             96.80         440297.02        6459849.20             -0.10             -0.08              1.85             -0.10
            122.00              0.73            208.43            122.00             97.00         440297.02        6459849.20             -0.10             -0.08              1.82             -0.10
            122.20              0.73            207.63            122.20             97.20         440297.02        6459849.20             -0.10             -0.08              1.79             -0.10
            122.40              0.72            206.83            122.40             97.40         440297.02        6459849.20             -0.10             -0.08              1.76             -0.10
            122.60              0.72            206.03            122.60             97.60         440297.01        6459849.20             -0.10             -0.09              1.73             -0.10
            122.80              0.72            205.22            122.80             97.80         440297.01        6459849.19             -0.11             -0.09              1.70             -0.11
            123.00              0.71            204.42            123.00             98.00         440297.01        6459849.19             -0.11             -0.09              1.67             -0.11
            123.20              0.71            203.62            123.20             98.20         440297.01        6459849.19             -0.11             -0.09              1.64             -0.11
            123.40              0.71            203.67            123.40             98.40         440297.01        6459849.19             -0.11             -0.09              1.60             -0.11
            123.60              0.71            203.72            123.60             98.60         440297.01        6459849.19             -0.11             -0.09              1.56             -0.11
            123.80              0.71            203.77            123.80             98.80         440297.01        6459849.18             -0.12             -0.09              1.52             -0.12
            124.00              0.71            203.82            124.00             99.00         440297.01        6459849.18             -0.12             -0.09              1.48             -0.12
            124.20              0.72            203.88            124.20             99.20         440297.00        6459849.18             -0.12             -0.10              1.43             -0.12
            124.40              0.72            203.93            124.40             99.40         440297.00        6459849.18             -0.12             -0.10              1.39             -0.12
            124.60              0.72            203.98            124.60             99.60         440297.00        6459849.17             -0.13             -0.10              1.35             -0.13
            124.80              0.72            204.03            124.80             99.80         440297.00        6459849.17             -0.13             -0.10              1.31             -0.13
            125.00              0.72            204.08            125.00            100.00         440297.00        6459849.17             -0.13             -0.10              1.27             -0.13
            125.20              0.72            204.13            125.20            100.20         440297.00        6459849.17             -0.13             -0.10              1.23             -0.13
            125.40              0.72            204.18            125.40            100.40         440297.00        6459849.16             -0.14             -0.10              1.19             -0.14
            125.60              0.72            204.23            125.60            100.60         440297.00        6459849.16             -0.14             -0.10              1.15             -0.14
            125.80              0.72            204.28            125.80            100.80         440297.00        6459849.16             -0.14             -0.10              1.11             -0.14
            126.00              0.73            204.34            126.00            101.00         440296.99        6459849.16             -0.14             -0.11              1.06             -0.14
            126.20              0.73            204.39            126.20            101.20         440296.99        6459849.16             -0.14             -0.11              1.02             -0.14
            126.40              0.73            204.44            126.40            101.40         440296.99        6459849.15             -0.15             -0.11              0.98             -0.15
            126.60              0.73            204.49            126.60            101.60         440296.99        6459849.15             -0.15             -0.11              0.94             -0.15
            126.80              0.73            204.54            126.80            101.80         440296.99        6459849.15             -0.15             -0.11              0.90             -0.15
            127.00              0.73            204.59            127.00            102.00         440296.99        6459849.15             -0.15             -0.11              0.86             -0.15
            127.20              0.73            204.64            127.20            102.20         440296.99        6459849.14             -0.16             -0.11              0.82             -0.16
            127.40              0.73            204.69            127.40            102.40         440296.99        6459849.14             -0.16             -0.11              0.78             -0.16
            127.60              0.74            204.75            127.60            102.60         440296.98        6459849.14             -0.16             -0.12              0.73             -0.16
            127.80              0.74            204.80            127.80            102.80         440296.98        6459849.14             -0.16             -0.12              0.69             -0.16
            128.00              0.74            204.85            128.00            103.00         440296.98        6459849.14             -0.16             -0.12              0.65             -0.16
            128.20              0.74            204.90            128.20            103.20         440296.98        6459849.13             -0.17             -0.12              0.61             -0.17
            128.40              0.74            204.95            128.40            103.40         440296.98        6459849.13             -0.17             -0.12              0.57             -0.17
            128.60              0.74            205.00            128.60            103.60         440296.98        6459849.13             -0.17             -0.12              0.53             -0.17
            128.80              0.74            205.05            128.80            103.80         440296.98        6459849.13             -0.17             -0.12              0.49             -0.17
            129.00              0.74            205.10            129.00            104.00         440296.98        6459849.12             -0.18             -0.12              0.45             -0.18
            129.20              0.74            205.15            129.20            104.20         440296.98        6459849.12             -0.18             -0.12              0.41             -0.18
