HEADER INFORMATION	
----------------------------------------------------------------	
COMPANY:	Det norske oljeselskap ASA
FIELD:	Exploration - UTM Zone 31
WELL NAME:	15/9-24 Storkinn
WELLBORE NAME:	15/9-24 Storkinn
Drilled From	: Well Ref. Point
KICK OFF DEPTH:	105.50 m
SURVEYNAME:	15/9-24 Storkinn
SURVEYDATE:	24-06-2010
PRINTED DATE:	24-06-2010
----------------------------------------------------------------	
CALCULATION METHOD:	Minimum Curvature
DATUM NAME:	Bredford Dolphin
LAT REFERENCE:	Site
----------------------------------------------------------------	
SLOT EW MAP:	440297.10m
SLOT NS MAP:	6459849.30m
SURFACE LATITUDE MAP:	58° 16' 27.524 N
SURFACE LONGITUDE  MAP:	1° 58' 55.873 E
BOTTOM HOLE MD:	2400.00 m
BOTTOM HOLE TVD:	2399.75 m
BOTTOM HOLE EW MAP:	440297.64m
BOTTOM HOLE NS MAP:	6459853.66m
----------------------------------------------------------------	
WATER DEPTH:	80.50 m
KB-MSL:	25.00 m
SYSTEM DATUM:	Mean Sea Level
----------------------------------------------------------------	
MAP-ZONE:	Zone 31N (0 E to 6 E)
NORTH REFERENCE:	Grid
GEO DATUM:	European 1950 - Mean
VSDIR:	0
----------------------------------------------------------------	
SURVEY TYPE INFORMATION
H  107.00 - 149.20 15/9-24; 36" MWD+SC+SAG : MWD+SC+SAG
H  182.90 - 620.69 15/9-24; 26'' MWD+SC+SAG : MWD+SC+SAG
H  638.70 - 1480.40 15/9-24; 17 1/2'' MWD+SC+SAG : MWD+SC+SAG
H  1508.30 - 2387.90 15/9-24; 8 1/2'' MWD+SC+SAG : MWD+SC+SAG
H  2400.00 - 2400.00 15/9-24; EXTRAPOLATION TO TD : BLIND

----------------------------------------------------------------	
SURVEY LIST	
MD         	Inc       	AZI    	TVD(RKB)   	TVDS       	X(m)        	y(m)        	NS          	EW          	DLS              	Vsec        	Lat                	Long
962.60  	1.18    	67.75     	962.52    	937.52    	440297.87   	6459847.11    	-2.19       	0.77        	0.11        	-2.19     	    58° 16' 27.453 N	     1° 58' 55.922 E	
1020.00 	1.28    	68.58     	1019.90   	994.90    	440299.01   	6459847.57    	-1.73       	1.91        	0.05        	-1.73     	    58° 16' 27.469 N	     1° 58' 55.992 E	
1049.60 	1.37    	71.78     	1049.50   	1024.50   	440299.65   	6459847.80    	-1.50       	2.55        	0.12        	-1.50     	    58° 16' 27.477 N	     1° 58' 56.032 E	
1077.20 	1.51    	69.08     	1077.09   	1052.09   	440300.31   	6459848.03    	-1.27       	3.21        	0.17        	-1.27     	    58° 16' 27.484 N	     1° 58' 56.071 E	
1105.30 	1.43    	67.59     	1105.18   	1080.18   	440300.98   	6459848.30    	-1.00       	3.88        	0.09        	-1.00     	    58° 16' 27.493 N	     1° 58' 56.112 E	
1134.30 	0.69    	60.35     	1134.17   	1109.17   	440301.46   	6459848.52    	-0.78       	4.36        	0.78        	-0.78     	    58° 16' 27.501 N	     1° 58' 56.142 E	
1192.10 	0.67    	44.63     	1191.97   	1166.97   	440302.00   	6459848.93    	-0.37       	4.90        	0.10        	-0.37     	    58° 16' 27.514 N	     1° 58' 56.175 E	
1221.70 	0.75    	39.34     	1221.57   	1196.57   	440302.25   	6459849.21    	-0.09       	5.15        	0.10        	-0.09     	    58° 16' 27.523 N	     1° 58' 56.189 E	
1246.70 	0.62    	22.35     	1246.56   	1221.56   	440302.40   	6459849.46    	0.16        	5.30        	0.29        	0.16      	    58° 16' 27.532 N	     1° 58' 56.199 E	
1278.90 	0.45    	46.67     	1278.76   	1253.76   	440302.56   	6459849.71    	0.41        	5.46        	0.26        	0.41      	    58° 16' 27.540 N	     1° 58' 56.208 E	
1307.30 	0.48    	24.51     	1307.16   	1282.16   	440302.69   	6459849.89    	0.59        	5.59        	0.19        	0.59      	    58° 16' 27.546 N	     1° 58' 56.216 E	
1334.20 	0.88    	324.72    	1334.06   	1309.06   	440302.62   	6459850.16    	0.86        	5.52        	0.85        	0.86      	    58° 16' 27.554 N	     1° 58' 56.211 E	
1365.20 	0.98    	306.86    	1365.06   	1340.06   	440302.27   	6459850.52    	1.22        	5.17        	0.30        	1.22      	    58° 16' 27.566 N	     1° 58' 56.190 E	
1393.80 	1.03    	311.91    	1393.65   	1368.65   	440301.88   	6459850.83    	1.53        	4.78        	0.11        	1.53      	    58° 16' 27.576 N	     1° 58' 56.165 E	
1422.50 	0.83    	311.59    	1422.35   	1397.35   	440301.53   	6459851.14    	1.84        	4.43        	0.21        	1.84      	    58° 16' 27.586 N	     1° 58' 56.144 E	
1451.80 	0.59    	322.05    	1451.65   	1426.65   	440301.28   	6459851.40    	2.10        	4.18        	0.28        	2.10      	    58° 16' 27.594 N	     1° 58' 56.128 E	
1480.40 	0.55    	338.75    	1480.24   	1455.24   	440301.14   	6459851.65    	2.35        	4.04        	0.18        	2.35      	    58° 16' 27.602 N	     1° 58' 56.119 E	
1508.30 	0.19    	347.65    	1508.14   	1483.14   	440301.08   	6459851.82    	2.52        	3.98        	0.39        	2.52      	    58° 16' 27.607 N	     1° 58' 56.116 E	
1537.20 	0.43    	356.47    	1537.04   	1512.04   	440301.07   	6459851.97    	2.67        	3.97        	0.25        	2.67      	    58° 16' 27.612 N	     1° 58' 56.114 E	
1594.40 	0.69    	358.24    	1594.24   	1569.24   	440301.04   	6459852.53    	3.23        	3.94        	0.14        	3.23      	    58° 16' 27.630 N	     1° 58' 56.112 E	
1622.30 	0.56    	351.43    	1622.14   	1597.14   	440301.02   	6459852.83    	3.53        	3.92        	0.16        	3.53      	    58° 16' 27.640 N	     1° 58' 56.111 E	
