# PBAscii Data File  PDS Version 2.4.4
# Copyright (C) 2001  PGS Tigress UK Limited
#
# File created by avocat on 28/06/2004
# using pdsboot_base( PDS Version 2.4.4 )
#

SRCAPPL= project
SRCFILE= stdin

UNITS= METRIC

WELLNM= 15/12-A-12 A
OPERTR= PERTRA AS
WELLSYMB=      3

LNGTDE=     1.89051194
LATTDE=    58.07790889
NORTHING=      6438068.329790
EASTING=       434560.095640
PERMDAT= MSL
REFNAME= KB
PROJCOD=      1


# Elevation data: <Point> <Ref Datum> <Height> [<start date> <end date>]
#                                      metres

ELVREF= KB MSL   51.500000   28/12/2003 28/12/2003

DATTYP= DEVN
DESCRP= Deviation Survey
LNGTDE=     1.89051111
LATTDE=    58.07790833
REFDIR=     0.00000000
FDTSTAT=      0

#    <Depth>      <Inclination>    <Azimuth>
  770.00000       33.588799      33.298969     767.55017
  772.00000       33.704082      33.442879     769.54169
  774.00000       33.819366      33.586788     771.53314
  776.00000       33.934647      33.730698     773.52466
  778.00000       34.049931      33.874603     775.51611
  780.00000       34.165211      34.018513     777.50757
  782.00000       34.280495      34.162422     779.49908
  784.00000       34.395775      34.306332     781.49054
  786.00000       34.511059      34.450241     783.48206
  788.00000       34.626339      34.594151     785.47351
  790.00000       34.741623      34.738060     787.46503
  792.00000       34.856907      34.881969     789.45648
  794.00000       34.972187      35.025875     791.44794
  796.00000       35.087379      35.166840     793.43970
  798.00000       35.202564      35.307476     795.43140
  800.00000       35.317745      35.448109     797.42316
  802.00000       35.432930      35.588745     799.41486
  804.00000       35.548111      35.729382     801.40656
  806.00000       35.663296      35.870018     803.39832
  808.00000       35.778481      36.010654     805.39001
  810.00000       35.893661      36.151287     807.38171
  812.00000       36.008846      36.291924     809.37347
  814.00000       36.124027      36.432560     811.36517
  816.00000       36.239212      36.573196     813.35693
  818.00000       36.354397      36.713833     815.34863
  820.00000       36.469578      36.854465     817.34033
  822.00000       36.584763      36.995102     819.33209
  824.00000       36.699944      37.135738     821.32379
  826.00000       36.815388      37.276970     823.31543
  828.00000       36.930859      37.418266     825.30707
  830.00000       37.046329      37.559563     827.29877
  832.00000       37.161800      37.700863     829.29041
  834.00000       37.277271      37.842159     831.28204
  836.00000       37.392742      37.983456     833.27374
  838.00000       37.508213      38.124752     835.26538
  840.00000       37.623684      38.266048     837.25702
  842.00000       37.739155      38.407345     839.24872
  844.00000       37.854626      38.548645     841.24036
  846.00000       37.970097      38.689941     843.23199
  848.00000       38.085567      38.831238     845.22363
  850.00000       38.201038      38.972534     847.21533
  852.00000       38.316509      39.113831     849.20697
  854.00000       38.430347      39.257046     851.19855
  856.00000       38.543999      39.400471     853.19019
  858.00000       38.657650      39.543892     855.18176
  860.00000       38.771305      39.687317     857.17340
  862.00000       38.884956      39.830742     859.16498
  864.00000       38.998608      39.974167     861.15662
  866.00000       39.112259      40.117588     863.14825
  868.00000       39.225914      40.261013     865.13983
  870.00000       39.339565      40.404438     867.13147
  872.00000       39.453217      40.547863     869.12305
  874.00000       39.566868      40.691288     871.11469
  876.00000       39.680523      40.834709     873.10626
  878.00000       39.794174      40.978134     875.09790
  880.00000       39.907825      41.121559     877.08948
  882.00000       40.021477      41.264984     879.08112
  884.00000       40.143314      41.406612     881.07233
  886.00000       40.266060      41.548042     883.06354
  888.00000       40.388805      41.689468     885.05475
  890.00000       40.511551      41.830898     887.04596
  892.00000       40.634296      41.972328     889.03717
  894.00000       40.757042      42.113758     891.02838
  896.00000       40.879787      42.255184     893.01953
  898.00000       41.002533      42.396614     895.01074
  900.00000       41.125278      42.538044     897.00195
  902.00000       41.248024      42.679470     898.99316
  904.00000       41.370770      42.820900     900.98438
  906.00000       41.493515      42.962330     902.97559
  908.00000       41.616261      43.103760     904.96680
  910.00000       41.739006      43.245186     906.95801
  912.00000       41.868504      43.385448     908.94879
  914.00000       42.008125      43.523968     910.93915
  916.00000       42.147747      43.662483     912.92944
  918.00000       42.287369      43.800999     914.91974
  920.00000       42.426991      43.939518     916.91003
  922.00000       42.566612      44.078033     918.90033
  924.00000       42.706234      44.216553     920.89062
  926.00000       42.845856      44.355068     922.88092
  928.00000       42.985477      44.493584     924.87128
  930.00000       43.125099      44.632103     926.86157
  932.00000       43.264721      44.770618     928.85187
  934.00000       43.404343      44.909134     930.84216
  936.00000       43.543964      45.047653     932.83246
  938.00000       43.683586      45.186169     934.82275
  940.00000       43.823208      45.324684     936.81305
  942.00000       43.967552      45.475391     938.80212
  944.00000       44.112423      45.627449     940.79102
  946.00000       44.257298      45.779507     942.77997
  948.00000       44.402168      45.931564     944.76886
  950.00000       44.547039      46.083622     946.75781
  952.00000       44.691910      46.235680     948.74670
  954.00000       44.836781      46.387741     950.73566
  956.00000       44.981655      46.539799     952.72455
  958.00000       45.126526      46.691856     954.71350
  960.00000       45.271397      46.843914     956.70245
  962.00000       45.416267      46.995972     958.69135
  964.00000       45.561138      47.148029     960.68030
  966.00000       45.706009      47.300087     962.66919
  968.00000       45.850883      47.452145     964.65814
  970.00000       45.996357      47.612732     966.64630
