WELLNAME    UWN         UTM NORTH   UTM EAST    MD          TVD         DEVIATION   AZIMUTH     NORTH       EAST        DOGLEG
15/9-9      2623        6467984.08  435038.52   1398.12     1398.09     0.75        39.3        6467990.27  435039.01   0.29
15/9-9      2623        6467984.08  435038.52   1408.18     1408.15     0.75        46.61       6467990.37  435039.1    0.29
15/9-9      2623        6467984.08  435038.52   1418.23     1418.19     0.75        53.91       6467990.45  435039.2    0.29
15/9-9      2623        6467984.08  435038.52   1428.29     1428.25     0.75        61.22       6467990.52  435039.31   0.29
15/9-9      2623        6467984.08  435038.52   1438.35     1438.31     0.75        68.53       6467990.58  435039.43   0.29
15/9-9      2623        6467984.08  435038.52   1448.41     1448.37     0.73        68.87       6467990.63  435039.55   0.06
15/9-9      2623        6467984.08  435038.52   1458.47     1458.43     0.7         68.77       6467990.67  435039.67   0.09
15/9-9      2623        6467984.08  435038.52   1468.53     1468.49     0.67        68.67       6467990.71  435039.78   0.09
15/9-9      2623        6467984.08  435038.52   1478.58     1478.54     0.65        68.57       6467990.76  435039.89   0.06
15/9-9      2623        6467984.08  435038.52   1488.64     1488.6      0.62        68.46       6467990.8   435039.99   0.09
15/9-9      2623        6467984.08  435038.52   1498.7      1498.66     0.59        68.36       6467990.84  435040.09   0.09
15/9-9      2623        6467984.08  435038.52   1508.76     1508.72     0.57        68.26       6467990.87  435040.19   0.06
15/9-9      2623        6467984.08  435038.52   1518.82     1518.78     0.54        68.15       6467990.91  435040.28   0.09
15/9-9      2623        6467984.08  435038.52   1528.88     1528.84     0.51        68.05       6467990.94  435040.36   0.09
15/9-9      2623        6467984.08  435038.52   1538.93     1538.89     0.51        65.72       6467990.98  435040.44   0.06
15/9-9      2623        6467984.08  435038.52   1548.99     1548.95     0.54        61          6467991.02  435040.53   0.16
15/9-9      2623        6467984.08  435038.52   1559.05     1559.01     0.57        56.29       6467991.07  435040.61   0.16
15/9-9      2623        6467984.08  435038.52   1569.11     1569.07     0.59        51.58       6467991.13  435040.69   0.15
15/9-9      2623        6467984.08  435038.52   1579.17     1579.13     0.62        46.87       6467991.2   435040.77   0.17
15/9-9      2623        6467984.08  435038.52   1589.23     1589.18     0.65        42.16       6467991.28  435040.85   0.18
15/9-9      2623        6467984.08  435038.52   1599.28     1599.23     0.67        37.45       6467991.37  435040.92   0.17
15/9-9      2623        6467984.08  435038.52   1609.34     1609.29     0.7         32.74       6467991.47  435040.99   0.19
15/9-9      2623        6467984.08  435038.52   1619.4      1619.35     0.73        28.03       6467991.58  435041.06   0.2
15/9-9      2623        6467984.08  435038.52   1629.46     1629.41     0.77        23.95       6467991.69  435041.11   0.2
15/9-9      2623        6467984.08  435038.52   1639.52     1639.47     0.87        23.41       6467991.83  435041.17   0.3
15/9-9      2623        6467984.08  435038.52   1649.58     1649.53     0.98        22.88       6467991.98  435041.23   0.33
15/9-9      2623        6467984.08  435038.52   1659.64     1659.59     1.09        22.34       6467992.14  435041.3    0.33
15/9-9      2623        6467984.08  435038.52   1669.69     1669.64     1.19        21.8        6467992.33  435041.38   0.3
15/9-9      2623        6467984.08  435038.52   1679.75     1679.69     1.3         21.27       6467992.53  435041.46   0.33
15/9-9      2623        6467984.08  435038.52   1689.81     1689.75     1.41        20.73       6467992.75  435041.55   0.33
15/9-9      2623        6467984.08  435038.52   1699.87     1699.81     1.51        20.19       6467992.99  435041.63   0.3
15/9-9      2623        6467984.08  435038.52   1709.93     1709.86     1.62        19.66       6467993.25  435041.73   0.33
15/9-9      2623        6467984.08  435038.52   1719.99     1719.92     1.73        19.12       6467993.53  435041.83   0.33
15/9-9      2623        6467984.08  435038.52   1730.04     1729.96     1.84        18.58       6467993.83  435041.93   0.33
15/9-9      2623        6467984.08  435038.52   1740.1      1740.02     1.94        18.05       6467994.14  435042.03   0.3
15/9-9      2623        6467984.08  435038.52   1750.16     1750.07     2.05        17.51       6467994.47  435042.14   0.33
15/9-9      2623        6467984.08  435038.52   1760.22     1760.13     2.16        16.98       6467994.83  435042.25   0.33
15/9-9      2623        6467984.08  435038.52   1770.28     1770.18     2.26        16.44       6467995.2   435042.36   0.3
15/9-9      2623        6467984.08  435038.52   1780.34     1780.23     2.37        15.9        6467995.59  435042.47   0.33
15/9-9      2623        6467984.08  435038.52   1790.39     1790.27     2.48        15.37       6467996     435042.59   0.34
15/9-9      2623        6467984.08  435038.52   1800.45     1800.32     2.58        14.83       6467996.43  435042.7    0.31
15/9-9      2623        6467984.08  435038.52   1810.51     1810.37     2.69        14.29       6467996.87  435042.82   0.34
15/9-9      2623        6467984.08  435038.52   1820.57     1820.42     2.77        13.24       6467997.34  435042.93   0.28
15/9-9      2623        6467984.08  435038.52   1830.63     1830.47     2.83        11.56       6467997.82  435043.04   0.3
15/9-9      2623        6467984.08  435038.52   1840.69     1840.51     2.88        9.89        6467998.31  435043.13   0.29
15/9-9      2623        6467984.08  435038.52   1850.74     1850.55     2.93        8.21        6467998.81  435043.21   0.29
15/9-9      2623        6467984.08  435038.52   1860.8      1860.6      2.98        6.53        6467999.33  435043.28   0.3
15/9-9      2623        6467984.08  435038.52   1870.86     1870.64     3.04        4.86        6467999.85  435043.33   0.32
15/9-9      2623        6467984.08  435038.52   1880.92     1880.69     3.09        3.18        6468000.39  435043.37   0.31
15/9-9      2623        6467984.08  435038.52   1890.98     1890.74     3.14        1.5         6468000.94  435043.39   0.31
15/9-9      2623        6467984.08  435038.52   1901.04     1900.78     3.19        359.83      6468001.49  435043.4    0.31
15/9-9      2623        6467984.08  435038.52   1911.1      1910.82     3.25        358.15      6468002.05  435043.39   0.33
15/9-9      2623        6467984.08  435038.52   1921.15     1920.86     3.03        353.18      6468002.6   435043.34   1.04
15/9-9      2623        6467984.08  435038.52   1931.21     1930.91     2.78        347.88      6468003.11  435043.26   1.09
15/9-9      2623        6467984.08  435038.52   1941.27     1940.96     2.54        342.58      6468003.56  435043.14   1.02
15/9-9      2623        6467984.08  435038.52   1951.33     1951.01     2.3         337.28      6468003.96  435043      0.98
15/9-9      2623        6467984.08  435038.52   1961.39     1961.06     2.05        331.98      6468004.3   435042.84   0.96
15/9-9      2623        6467984.08  435038.52   1971.45     1971.11     1.81        326.68      6468004.59  435042.67   0.89
15/9-9      2623        6467984.08  435038.52   1981.5      1981.16     1.57        321.38      6468004.83  435042.49   0.85
15/9-9      2623        6467984.08  435038.52   1991.56     1991.22     1.33        316.08      6468005.02  435042.33   0.82
15/9-9      2623        6467984.08  435038.52   2001.62     2001.27     1.08        310.78      6468005.17  435042.17   0.82
15/9-9      2623        6467984.08  435038.52   2011.68     2011.33     0.99        309.32      6468005.29  435042.03   0.28
15/9-9      2623        6467984.08  435038.52   2021.74     2021.39     0.98        309.78      6468005.4   435041.9    0.04
15/9-9      2623        6467984.08  435038.52   2031.8      2031.45     0.96        310.24      6468005.51  435041.77   0.06
15/9-9      2623        6467984.08  435038.52   2041.85     2041.5      0.94        310.71      6468005.61  435041.64   0.06
15/9-9      2623        6467984.08  435038.52   2051.91     2051.56     0.93        311.17      6468005.72  435041.52   0.04
