HEADER INFORMATION	
----------------------------------------------------------------	
COMPANY:	Talisman Energy Norway
FIELD:	EXPLORATION-UTM Zone 31
WELL NAME:	15/12-21 (Actual)
WELLBORE NAME:	15/12-21 (Actual)
Drilled From	: Well Ref. Point
KICK OFF DEPTH:	127.72 m
SURVEYNAME:	15/12-21 (Actual)
SURVEYDATE:	20-04-2009
PRINTED DATE:	29-04-2009
----------------------------------------------------------------	
CALCULATION METHOD:	Minimum Curvature
DATUM NAME:	RKB
LAT REFERENCE:	Site
----------------------------------------------------------------	
SLOT EW MAP:	434362.00m
SLOT NS MAP:	6454777.75m
SURFACE LATITUDE MAP:	58° 13' 40.534 N
SURFACE LONGITUDE  MAP:	1° 52' 56.859 E
BOTTOM HOLE MD:	3310.00 m
BOTTOM HOLE TVD:	3309.83 m
BOTTOM HOLE EW MAP:	434380.27m
BOTTOM HOLE NS MAP:	6454789.27m
----------------------------------------------------------------	
WATER DEPTH:	85.60 m
KB-MSL:	42.12 m
SYSTEM DATUM:	Mean Sea Level
----------------------------------------------------------------	
MAP-ZONE:	Zone 31N (0 E to 6 E)
NORTH REFERENCE:	Grid
GEO DATUM:	European 1950 - Mean
VSDIR:	360
----------------------------------------------------------------	
SURVEY TYPE INFORMATION
H  135.20 - 200.10 15/12-21; 36" SDS.MWD+SAG : MWD+SAG+SCC
H  240.10 - 1185.70 15/12-21; 17½" SDS.MWD+SAG : MWD+SAG+SCC
H  1220.80 - 2865.40 15/12-21; 12¼" SDS.MWD+SAG : MWD+SAG+SCC
H  2894.50 - 3289.50 15/12-21; 8½" SDS.MWD+SAG : MWD+SAG+SCC
H  3310.00 - 3310.00 15/12-21; EXTRAPOLATION TO TD : BLIND

----------------------------------------------------------------	
SURVEY LIST	
MD         	Inc       	AZI    	TVD(RKB)   	TVDS       	X(m)        	y(m)        	NS          	EW          	DLS              	Vsec        	Lat                	Long
2317.40 	0.37    	40.76     	2317.28   	2275.16   	434376.62   	6454784.44    	8.55        	15.23       	0.33        	6.70      	    58° 13' 40.759 N	     1° 52' 57.748 E	
2346.10 	0.57    	70.01     	2345.98   	2303.86   	434376.82   	6454784.56    	8.66        	15.42       	0.32        	6.81      	    58° 13' 40.763 N	     1° 52' 57.760 E	
2374.90 	0.31    	79.30     	2374.78   	2332.66   	434377.03   	6454784.62    	8.73        	15.64       	0.28        	6.88      	    58° 13' 40.765 N	     1° 52' 57.773 E	
2403.30 	0.40    	64.44     	2403.18   	2361.06   	434377.19   	6454784.68    	8.79        	15.80       	0.14        	6.94      	    58° 13' 40.767 N	     1° 52' 57.783 E	
2432.40 	0.66    	74.42     	2432.27   	2390.15   	434377.45   	6454784.77    	8.87        	16.05       	0.28        	7.02      	    58° 13' 40.770 N	     1° 52' 57.798 E	
2461.40 	0.69    	89.60     	2461.27   	2419.15   	434377.78   	6454784.82    	8.92        	16.39       	0.19        	7.07      	    58° 13' 40.771 N	     1° 52' 57.819 E	
2490.30 	0.74    	83.50     	2490.17   	2448.05   	434378.14   	6454784.84    	8.94        	16.75       	0.09        	7.09      	    58° 13' 40.772 N	     1° 52' 57.841 E	
2519.10 	0.57    	71.17     	2518.97   	2476.85   	434378.46   	6454784.91    	9.01        	17.07       	0.23        	7.16      	    58° 13' 40.775 N	     1° 52' 57.860 E	
2548.00 	0.56    	89.79     	2547.87   	2505.75   	434378.74   	6454784.95    	9.06        	17.35       	0.19        	7.21      	    58° 13' 40.776 N	     1° 52' 57.877 E	
2576.90 	0.72    	78.11     	2576.77   	2534.65   	434379.06   	6454784.99    	9.09        	17.66       	0.21        	7.24      	    58° 13' 40.778 N	     1° 52' 57.897 E	
