Data from WELLPATH_ORIGINAL_SURVEY_POINTS_1.ASC has been resampled to 0.2 meters and linearly interpolated between original survey points. Computed 2009-06-02

HEADER INFORMATION	
----------------------------------------------------------------	
COMPANY:	Talisman Energy Norway
FIELD:	EXPLORATION-UTM Zone 31
WELL NAME:	15/12-21 (Actual)
WELLBORE NAME:	15/12-21 (Actual)
Drilled From	: Well Ref. Point
KICK OFF DEPTH:	127.72 m
SURVEYNAME:	15/12-21 (Actual)
SURVEYDATE:	20-04-2009
PRINTED DATE:	29-04-2009
----------------------------------------------------------------	
CALCULATION METHOD:	Minimum Curvature
DATUM NAME:	RKB
LAT REFERENCE:	Site
----------------------------------------------------------------	
SLOT EW MAP:	434362.00m
SLOT NS MAP:	6454777.75m
SURFACE LATITUDE MAP:	58° 13' 40.534 N
SURFACE LONGITUDE  MAP:	1° 52' 56.859 E
BOTTOM HOLE MD:	3310.00 m
BOTTOM HOLE TVD:	3309.83 m
BOTTOM HOLE EW MAP:	434380.27m
BOTTOM HOLE NS MAP:	6454789.27m
----------------------------------------------------------------	
WATER DEPTH:	85.60 m
KB-MSL:	42.12 m
SYSTEM DATUM:	Mean Sea Level
----------------------------------------------------------------	
MAP-ZONE:	Zone 31N (0 E to 6 E)
NORTH REFERENCE:	Grid
GEO DATUM:	European 1950 - Mean
VSDIR:	360
----------------------------------------------------------------	
SURVEY TYPE INFORMATION
H  135.20 - 200.10 15/12-21; 36" SDS.MWD+SAG : MWD+SAG+SCC
H  240.10 - 1185.70 15/12-21; 17½" SDS.MWD+SAG : MWD+SAG+SCC
H  1220.80 - 2865.40 15/12-21; 12¼" SDS.MWD+SAG : MWD+SAG+SCC
H  2894.50 - 3289.50 15/12-21; 8½" SDS.MWD+SAG : MWD+SAG+SCC
H  3310.00 - 3310.00 15/12-21; EXTRAPOLATION TO TD : BLIND

----------------------------------------------------------------	
SURVEY LIST	
                  MD                 Inc       	         AZI            TVD(RKB)                TVDS                X(m)                y(m)                  NS                  EW                 DLS                Vsec
              141.00                0.61               45.61              140.95               98.83           434362.07          6454777.82                1.92                0.67                1.44                0.07
              141.20                0.61               45.56              141.15               99.03           434362.08          6454777.83                1.93                0.68                1.40                0.08
              141.40                0.61               45.50              141.35               99.23           434362.08          6454777.83                1.93                0.68                1.36                0.08
              141.60                0.61               45.45              141.55               99.43           434362.08          6454777.83                1.93                0.68                1.32                0.08
              141.80                0.61               45.40              141.75               99.63           434362.08          6454777.83                1.93                0.68                1.28                0.08
              142.00                0.60               45.35              141.94               99.82           434362.08          6454777.83                1.93                0.68                1.24                0.08
              142.20                0.60               45.30              142.14              100.02           434362.08          6454777.83                1.93                0.68                1.20                0.08
              142.40                0.60               45.25              142.34              100.22           434362.08          6454777.83                1.93                0.68                1.16                0.08
              142.60                0.60               45.20              142.54              100.42           434362.09          6454777.84                1.94                0.69                1.12                0.09
              142.80                0.60               45.15              142.74              100.62           434362.09          6454777.84                1.94                0.69                1.08                0.09
              143.00                0.60               45.10              142.94              100.82           434362.09          6454777.84                1.94                0.69                1.04                0.09
              143.20                0.60               45.05              143.13              101.01           434362.09          6454777.84                1.94                0.69                1.00                0.09
              143.40                0.60               45.00              143.33              101.21           434362.09          6454777.84                1.94                0.69                0.96                0.09
              143.60                0.59               44.95              143.53              101.41           434362.09          6454777.84                1.94                0.69                0.92                0.09
              143.80                0.59               44.89              143.73              101.61           434362.09          6454777.84                1.94                0.69                0.88                0.09
              144.00                0.59               44.84              143.93              101.81           434362.10          6454777.85                1.95                0.70                0.84                0.10
              144.20                0.59               44.79              144.13              102.01           434362.10          6454777.85                1.95                0.70                0.80                0.10
              144.40                0.59               44.74              144.32              102.20           434362.10          6454777.85                1.95                0.70                0.77                0.10
              144.60                0.59               44.69              144.52              102.40           434362.10          6454777.85                1.95                0.70                0.73                0.10
              144.80                0.59               44.64              144.72              102.60           434362.10          6454777.85                1.95                0.70                0.69                0.10
              145.00                0.58               44.59              144.92              102.80           434362.10          6454777.85                1.95                0.70                0.65                0.10
              145.20                0.58               44.54              145.12              103.00           434362.11          6454777.86                1.96                0.71                0.61                0.11
              145.40                0.58               44.49              145.32              103.20           434362.11          6454777.86                1.96                0.71                0.57                0.11
              145.60                0.58               44.44              145.51              103.39           434362.11          6454777.86                1.96                0.71                0.53                0.11
              145.80                0.58               44.39              145.71              103.59           434362.11          6454777.86                1.96                0.71                0.49                0.11
              146.00                0.58               44.34              145.91              103.79           434362.11          6454777.86                1.96                0.71                0.45                0.11
              146.20                0.58               44.28              146.11              103.99           434362.11          6454777.86                1.96                0.71                0.41                0.11
              146.40                0.58               44.23              146.31              104.19           434362.11          6454777.86                1.96                0.71                0.37                0.11
