  Well: 15/12-4
   UWI: 6211
 Units: m
    TD: 3140 m
LNGTDE: 1.903225
LATTDE: 58.05254444

     depth   inc      azi

     110       0       0
     336     0.5     208
     514    0.25     289
     543     0.5       9
     641    0.25     295
     746     0.5      29
     862    0.25      26
     968     0.5     189
    1073       1     190
    1179     0.5       0
    1294       1      79
    1399       1      49
    1505       1      60
    1614       1      20
    1722       1      21
    2419       1      34
    2570    0.25     323
    2606     0.5      40
    2674       1      10
    2688       1      19
    2726       1      10
    2785       1      16
    2840       2       0
    3140       2      36


Depth Mode          :  TVD
Depth Unit          :  International meters
Distance Unit       :  meters

UWI: 6211                      
Common: 15/12-4                                                                         
Measr. Depth    TVD Depth     X-Offset     Y-Offset
       305.000      304.998       -0.399       -0.751
       306.000      305.997       -0.401       -0.755
       307.000      306.997       -0.404       -0.759
       308.000      307.997       -0.406       -0.763
       309.000      308.997       -0.408       -0.767
       310.000      309.997       -0.410       -0.771
       311.000      310.997       -0.412       -0.774
       312.000      311.997       -0.414       -0.778
       313.000      312.997       -0.416       -0.782
       314.000      313.997       -0.418       -0.786
       315.000      314.997       -0.420       -0.790
       316.000      315.997       -0.422       -0.794
       317.000      316.997       -0.424       -0.797
       318.000      317.997       -0.426       -0.801
       319.000      318.997       -0.428       -0.805
       320.000      319.997       -0.430       -0.809
       321.000      320.997       -0.432       -0.813
       322.000      321.997       -0.434       -0.817
       323.000      322.997       -0.436       -0.821
       324.000      323.997       -0.438       -0.824
       325.000      324.997       -0.440       -0.828
       326.000      325.997       -0.442       -0.832
       327.000      326.997       -0.445       -0.836
       328.000      327.997       -0.447       -0.840
       329.000      328.997       -0.449       -0.844
       330.000      329.997       -0.451       -0.848
       331.000      330.997       -0.453       -0.851
       332.000      331.997       -0.455       -0.855
       333.000      332.997       -0.457       -0.859
       334.000      333.997       -0.459       -0.863
       335.000      334.997       -0.461       -0.867
       336.000      335.997       -0.463       -0.871
       337.000      336.997       -0.469       -0.873
       338.000      337.997       -0.474       -0.875
       339.000      338.997       -0.480       -0.877
       340.000      339.997       -0.485       -0.880
       341.000      340.997       -0.491       -0.882
       342.000      341.997       -0.497       -0.884
       343.000      342.997       -0.502       -0.886
       344.000      343.997       -0.508       -0.888
       345.000      344.997       -0.513       -0.891
       346.000      345.997       -0.519       -0.893
       347.000      346.997       -0.525       -0.895
       348.000      347.997       -0.530       -0.897
       349.000      348.997       -0.536       -0.899
       350.000      349.997       -0.541       -0.902
       351.000      350.997       -0.547       -0.904
       352.000      351.997       -0.552       -0.906
       353.000      352.997       -0.558       -0.908
       354.000      353.997       -0.564       -0.910
       355.000      354.997       -0.569       -0.913
       356.000      355.997       -0.575       -0.915
       357.000      356.997       -0.580       -0.917
       358.000      357.997       -0.586       -0.919
       359.000      358.997       -0.592       -0.921
       360.000      359.997       -0.597       -0.924
       361.000      360.997       -0.603       -0.926
       362.000      361.997       -0.608       -0.928
       363.000      362.997       -0.614       -0.930
       364.000      363.997       -0.620       -0.932
       365.000      364.996       -0.625       -0.935
       366.000      365.996       -0.631       -0.937
       367.000      366.996       -0.636       -0.939
       368.000      367.996       -0.642       -0.941
       369.000      368.996       -0.648       -0.943
       370.000      369.996       -0.653       -0.946
       371.000      370.996       -0.659       -0.948
       372.000      371.996       -0.664       -0.950
       373.000      372.996       -0.670       -0.952
       374.000      373.996       -0.676       -0.954
       375.000      374.996       -0.681       -0.957
       376.000      375.996       -0.687       -0.959
       377.000      376.996       -0.692       -0.961
       378.000      377.996       -0.698       -0.963
       379.000      378.996       -0.704       -0.965
       380.000      379.996       -0.709       -0.968
       381.000      380.996       -0.715       -0.970
       382.000      381.996       -0.720       -0.972
       383.000      382.996       -0.726       -0.974
       384.000      383.996       -0.732       -0.976
       385.000      384.996       -0.737       -0.979
       386.000      385.996       -0.743       -0.981
       387.000      386.996       -0.748       -0.983
       388.000      387.996       -0.754       -0.985
       389.000      388.996       -0.760       -0.987
       390.000      389.996       -0.765       -0.990
       391.000      390.996       -0.771       -0.992
       392.000      391.996       -0.776       -0.994
       393.000      392.996       -0.782       -0.996
       394.000      393.996       -0.787       -0.999
       395.000      394.996       -0.793       -1.001
       396.000      395.996       -0.799       -1.003
       397.000      396.996       -0.804       -1.005
       398.000      397.996       -0.810       -1.007
       399.000      398.996       -0.815       -1.010
       400.000      399.996       -0.821       -1.012
       401.000      400.996       -0.827       -1.014
       402.000      401.996       -0.832       -1.016
       403.000      402.996       -0.838       -1.018
       404.000      403.996       -0.843       -1.021
       405.000      404.996       -0.849       -1.023
       406.000      405.996       -0.855       -1.025
       407.000      406.996       -0.860       -1.027
       408.000      407.996       -0.866       -1.029
       409.000      408.996       -0.871       -1.032
       410.000      409.996       -0.877       -1.034
       411.000      410.995       -0.883       -1.036
       412.000      411.995       -0.888       -1.038
       413.000      412.995       -0.894       -1.040
       414.000      413.995       -0.899       -1.043
       415.000      414.995       -0.905       -1.045
       416.000      415.995       -0.911       -1.047
       417.000      416.995       -0.916       -1.049
       418.000      417.995       -0.922       -1.051
       419.000      418.995       -0.927       -1.054
       420.000      419.995       -0.933       -1.056
       421.000      420.995       -0.939       -1.058
       422.000      421.995       -0.944       -1.060
       423.000      422.995       -0.950       -1.062
       424.000      423.995       -0.955       -1.065
       425.000      424.995       -0.961       -1.067
       426.000      425.995       -0.967       -1.069
       427.000      426.995       -0.972       -1.071
       428.000      427.995       -0.978       -1.073
       429.000      428.995       -0.983       -1.076
       430.000      429.995       -0.989       -1.078
       431.000      430.995       -0.994       -1.080
       432.000      431.995       -1.000       -1.082
       433.000      432.995       -1.006       -1.084
       434.000      433.995       -1.011       -1.087
       435.000      434.995       -1.017       -1.089
       436.000      435.995       -1.022       -1.091
       437.000      436.995       -1.028       -1.093
       438.000      437.995       -1.034       -1.095
       439.000      438.995       -1.039       -1.098
       440.000      439.995       -1.045       -1.100
       441.000      440.995       -1.050       -1.102
       442.000      441.995       -1.056       -1.104
       443.000      442.995       -1.062       -1.107
       444.000      443.995       -1.067       -1.109
       445.000      444.995       -1.073       -1.111
       446.000      445.995       -1.078       -1.113
       447.000      446.995       -1.084       -1.115
       448.000      447.995       -1.090       -1.118
       449.000      448.995       -1.095       -1.120
       450.000      449.995       -1.101       -1.122
       451.000      450.995       -1.106       -1.124
       452.000      451.995       -1.112       -1.126
       453.000      452.995       -1.118       -1.129
       454.000      453.994       -1.123       -1.131
       455.000      454.994       -1.129       -1.133
       456.000      455.994       -1.134       -1.135
       457.000      456.994       -1.140       -1.137
       458.000      457.994       -1.146       -1.140
       459.000      458.994       -1.151       -1.142
       460.000      459.994       -1.157       -1.144
       461.000      460.994       -1.162       -1.146
       462.000      461.994       -1.168       -1.148
       463.000      462.994       -1.174       -1.151
       464.000      463.994       -1.179       -1.153
       465.000      464.994       -1.185       -1.155
       466.000      465.994       -1.190       -1.157
       467.000      466.994       -1.196       -1.159
       468.000      467.994       -1.202       -1.162
       469.000      468.994       -1.207       -1.164
       470.000      469.994       -1.213       -1.166
       471.000      470.994       -1.218       -1.168
       472.000      471.994       -1.224       -1.170
       473.000      472.994       -1.229       -1.173
       474.000      473.994       -1.235       -1.175
       475.000      474.994       -1.241       -1.177
       476.000      475.994       -1.246       -1.179
       477.000      476.994       -1.252       -1.181
       478.000      477.994       -1.257       -1.184
       479.000      478.994       -1.263       -1.186
       480.000      479.994       -1.269       -1.188
       481.000      480.994       -1.274       -1.190
       482.000      481.994       -1.280       -1.192
       483.000      482.994       -1.285       -1.195
       484.000      483.994       -1.291       -1.197
       485.000      484.994       -1.297       -1.199
       486.000      485.994       -1.302       -1.201
       487.000      486.994       -1.308       -1.203
       488.000      487.994       -1.313       -1.206
       489.000      488.994       -1.319       -1.208
       490.000      489.994       -1.325       -1.210
       491.000      490.994       -1.330       -1.212
       492.000      491.994       -1.336       -1.215
       493.000      492.994       -1.341       -1.217
       494.000      493.994       -1.347       -1.219
       495.000      494.994       -1.353       -1.221
       496.000      495.994       -1.358       -1.223
       497.000      496.994       -1.364       -1.226
       498.000      497.994       -1.369       -1.228
       499.000      498.993       -1.375       -1.230
       500.000      499.993       -1.381       -1.232
       501.000      500.993       -1.386       -1.234
       502.000      501.993       -1.392       -1.237
       503.000      502.993       -1.397       -1.239
       504.000      503.993       -1.403       -1.241
       505.000      504.993       -1.409       -1.243
       506.000      505.993       -1.414       -1.245
       507.000      506.993       -1.420       -1.248
       508.000      507.993       -1.425       -1.250
       509.000      508.993       -1.431       -1.252
       510.000      509.993       -1.437       -1.254
       511.000      510.993       -1.442       -1.256
       512.000      511.993       -1.448       -1.259
       513.000      512.993       -1.453       -1.261
       514.000      513.993       -1.459       -1.263
       515.000      514.993       -1.462       -1.258
       516.000      515.993       -1.465       -1.253
       517.000      516.993       -1.468       -1.247
       518.000      517.993       -1.471       -1.242
       519.000      518.993       -1.474       -1.237
       520.000      519.993       -1.477       -1.232
       521.000      520.993       -1.481       -1.227
       522.000      521.993       -1.484       -1.222
       523.000      522.993       -1.487       -1.216
       524.000      523.993       -1.490       -1.211
       525.000      524.993       -1.493       -1.206
       526.000      525.993       -1.496       -1.201
       527.000      526.993       -1.499       -1.196
       528.000      527.993       -1.502       -1.191
       529.000      528.993       -1.505       -1.185
       530.000      529.993       -1.509       -1.180
       531.000      530.993       -1.512       -1.175
       532.000      531.993       -1.515       -1.170
       533.000      532.993       -1.518       -1.165
       534.000      533.993       -1.521       -1.160
       535.000      534.993       -1.524       -1.154
       536.000      535.993       -1.527       -1.149
       537.000      536.993       -1.530       -1.144
       538.000      537.993       -1.533       -1.139
       539.000      538.993       -1.536       -1.134
       540.000      539.993       -1.540       -1.129
       541.000      540.992       -1.543       -1.123
       542.000      541.992       -1.546       -1.118
       543.000      542.992       -1.549       -1.113
       544.000      543.992       -1.552       -1.108
       545.000      544.992       -1.555       -1.102
       546.000      545.992       -1.557       -1.097
       547.000      546.992       -1.560       -1.092
       548.000      547.992       -1.563       -1.086
       549.000      548.992       -1.566       -1.081
       550.000      549.992       -1.569       -1.075
       551.000      550.992       -1.572       -1.070
       552.000      551.992       -1.575       -1.065
       553.000      552.992       -1.578       -1.059
       554.000      553.992       -1.580       -1.054
       555.000      554.992       -1.583       -1.049
       556.000      555.992       -1.586       -1.043
       557.000      556.992       -1.589       -1.038
       558.000      557.992       -1.592       -1.032
       559.000      558.992       -1.595       -1.027
       560.000      559.992       -1.598       -1.022
       561.000      560.992       -1.600       -1.016
       562.000      561.992       -1.603       -1.011
       563.000      562.992       -1.606       -1.005
       564.000      563.992       -1.609       -1.000
       565.000      564.992       -1.612       -0.995
       566.000      565.992       -1.615       -0.989
       567.000      566.992       -1.618       -0.984
       568.000      567.992       -1.620       -0.978
       569.000      568.992       -1.623       -0.973
       570.000      569.992       -1.626       -0.968
       571.000      570.992       -1.629       -0.962
       572.000      571.992       -1.632       -0.957
       573.000      572.992       -1.635       -0.952
       574.000      573.992       -1.638       -0.946
       575.000      574.992       -1.641       -0.941
       576.000      575.992       -1.643       -0.935
       577.000      576.992       -1.646       -0.930
       578.000      577.992       -1.649       -0.925
       579.000      578.992       -1.652       -0.919
       580.000      579.992       -1.655       -0.914
       581.000      580.992       -1.658       -0.908
       582.000      581.992       -1.661       -0.903
       583.000      582.992       -1.663       -0.898
       584.000      583.992       -1.666       -0.892
       585.000      584.992       -1.669       -0.887
       586.000      585.992       -1.672       -0.882
       587.000      586.992       -1.675       -0.876
       588.000      587.991       -1.678       -0.871
       589.000      588.992       -1.681       -0.865
       590.000      589.991       -1.683       -0.860
       591.000      590.991       -1.686       -0.855
       592.000      591.991       -1.689       -0.849
       593.000      592.991       -1.692       -0.844
       594.000      593.991       -1.695       -0.838
       595.000      594.991       -1.698       -0.833
       596.000      595.991       -1.701       -0.828
       597.000      596.991       -1.704       -0.822
       598.000      597.991       -1.706       -0.817
       599.000      598.991       -1.709       -0.812
       600.000      599.991       -1.712       -0.806
       601.000      600.991       -1.715       -0.801
       602.000      601.991       -1.718       -0.795
       603.000      602.991       -1.721       -0.790
       604.000      603.991       -1.724       -0.785
       605.000      604.991       -1.726       -0.779
       606.000      605.991       -1.729       -0.774
       607.000      606.991       -1.732       -0.768
       608.000      607.991       -1.735       -0.763
       609.000      608.991       -1.738       -0.758
       610.000      609.991       -1.741       -0.752
       611.000      610.991       -1.744       -0.747
       612.000      611.991       -1.746       -0.742
       613.000      612.991       -1.749       -0.736
       614.000      613.991       -1.752       -0.731
       615.000      614.991       -1.755       -0.725
       616.000      615.991       -1.758       -0.720
       617.000      616.991       -1.761       -0.715
       618.000      617.991       -1.764       -0.709
       619.000      618.991       -1.767       -0.704
       620.000      619.991       -1.769       -0.698
       621.000      620.991       -1.772       -0.693
       622.000      621.991       -1.775       -0.688
       623.000      622.991       -1.778       -0.682
       624.000      623.991       -1.781       -0.677
       625.000      624.991       -1.784       -0.672
