Data from WELLPATH_ORIGINAL_SURVEY_POINTS_1.ASC has been resampled to 0.2m and
linearly interpolated between original survey points. Computed 2008-08-22.

HEADER INFORMATION	
----------------------------------------------------------------	
COMPANY:	BG Group
FIELD:	EXPLORATION - UTM Zone 31
WELL NAME:	15/12-19
WELLBORE NAME:	15/12-19
Drilled From:   Well Ref. Point
KICK OFF DEPTH: N/Am 
SURVEYNAME:     Definitive
SURVEYDATE:     2008-04-21
----------------------------------------------------------------	
CALCULATION METHOD: Minimum Curvature
DATUM NAME:         RKB@42.52
LAT REFERENCE:      Site
----------------------------------------------------------------	
SLOT EW MAP: 436239.01m
SLOT NS MAP: 6429787.29m
SURFACE LATITUDE MAP:   58°00'13.643N
SURFACE LONGITUDE  MAP: 001°55'16.368E
BOTTOM HOLE MD:  3212.00m 
BOTTOM HOLE TVD: 3211.35m 
BOTTOM HOLE EW MAP: 436244.60m
BOTTOM HOLE NS MAP: 6429796.98m
----------------------------------------------------------------	
WATER DEPTH:  85.00m 
KB-MSL:       42.52m 
SYSTEM DATUM: Mean Sea Level
----------------------------------------------------------------	
MAP-ZONE: UTM Zone 31, North 0 to 6E
NORTH REFERENCE: Grid
GEO DATUM: ED50 (International 1924)
VSDIR: 0
----------------------------------------------------------------	
SURVEY TYPE INFORMATION
235.80    - 654.00    15_12-19; 24'' MWD+SAG+SCC : MWD+SAG+SCC
668.60    - 1336.10   15_12-19; 17½" MWD+SAG+SCC : MWD+SAG+SCC
1364.00   - 2888.80   15_12-19; 12¼" MWD+SAG+SCC : MWD+SAG+SCC
2928.10   - 3188.60   15_12-19;  8½" MWD+SAG+SCC : MWD+SAG+SCC
3212.00   - 3212.00   15_12-19; Projection to TD : BLIND

----------------------------------------------------------------	
SURVEY LIST	
MD           Inc          AZI          TVD(RKB)     TVDS         X(m)         y(m)         NS           EW           DLS          Vsec
141.20       0.11         66.57        141.14       98.62        436238.97    6429787.33   0.04         -0.04        0.05         0.04
141.40       0.11         67.58        141.34       98.82        436238.97    6429787.33   0.04         -0.04        0.05         0.04
141.60       0.11         68.59        141.54       99.02        436238.97    6429787.33   0.04         -0.04        0.05         0.04
141.80       0.11         69.59        141.74       99.22        436238.97    6429787.33   0.04         -0.04        0.06         0.04
142.00       0.11         70.60        141.94       99.42        436238.96    6429787.34   0.04         -0.05        0.06         0.04
142.20       0.12         71.61        142.14       99.62        436238.96    6429787.34   0.04         -0.05        0.06         0.04
142.40       0.12         72.62        142.34       99.82        436238.96    6429787.34   0.04         -0.05        0.06         0.04
142.60       0.12         73.63        142.54       100.02       436238.96    6429787.34   0.04         -0.05        0.06         0.04
142.80       0.12         74.64        142.74       100.22       436238.96    6429787.34   0.05         -0.05        0.06         0.05
143.00       0.12         75.65        142.94       100.42       436238.96    6429787.34   0.05         -0.05        0.06         0.05
143.20       0.12         76.65        143.14       100.62       436238.96    6429787.34   0.05         -0.05        0.06         0.05
143.40       0.13         77.66        143.34       100.82       436238.96    6429787.34   0.05         -0.05        0.06         0.05
143.60       0.13         78.67        143.54       101.02       436238.96    6429787.34   0.05         -0.05        0.06         0.05
143.80       0.13         79.68        143.74       101.22       436238.96    6429787.34   0.05         -0.05        0.06         0.05
144.00       0.13         80.69        143.94       101.42       436238.96    6429787.34   0.05         -0.05        0.06         0.05
144.20       0.13         81.70        144.14       101.62       436238.96    6429787.34   0.05         -0.05        0.07         0.05
144.40       0.13         82.71        144.34       101.82       436238.96    6429787.34   0.05         -0.05        0.07         0.05
144.60       0.14         83.72        144.54       102.02       436238.96    6429787.34   0.05         -0.05        0.07         0.05
144.80       0.14         84.72        144.74       102.22       436238.96    6429787.34   0.05         -0.05        0.07         0.05
145.00       0.14         85.73        144.94       102.42       436238.96    6429787.34   0.05         -0.05        0.07         0.05
145.20       0.14         86.74        145.14       102.62       436238.95    6429787.35   0.05         -0.06        0.07         0.05
145.40       0.14         87.75        145.34       102.82       436238.95    6429787.35   0.05         -0.06        0.07         0.05
145.60       0.14         88.76        145.54       103.02       436238.95    6429787.35   0.05         -0.06        0.07         0.05
145.80       0.15         89.77        145.74       103.22       436238.95    6429787.35   0.05         -0.06        0.07         0.05
146.00       0.15         90.78        145.94       103.42       436238.95    6429787.35   0.05         -0.06        0.07         0.05
146.20       0.15         91.78        146.14       103.62       436238.95    6429787.35   0.06         -0.06        0.07         0.06
146.40       0.15         92.79        146.34       103.82       436238.95    6429787.35   0.06         -0.06        0.07         0.06
146.60       0.15         93.80        146.54       104.02       436238.95    6429787.35   0.06         -0.06        0.07         0.06
146.80       0.15         94.81        146.74       104.22       436238.95    6429787.35   0.06         -0.06        0.08         0.06
147.00       0.16         95.82        146.94       104.42       436238.95    6429787.35   0.06         -0.06        0.08         0.06
147.20       0.16         96.83        147.14       104.62       436238.95    6429787.35   0.06         -0.06        0.08         0.06
147.40       0.16         97.84        147.35       104.83       436238.95    6429787.35   0.06         -0.06        0.08         0.06
147.60       0.16         98.84        147.55       105.03       436238.95    6429787.35   0.06         -0.06        0.08         0.06
147.80       0.16         99.85        147.75       105.23       436238.95    6429787.35   0.06         -0.06        0.08         0.06
148.00       0.16         100.86       147.95       105.43       436238.95    6429787.35   0.06         -0.06        0.08         0.06
148.20       0.17         101.87       148.15       105.63       436238.95    6429787.35   0.06         -0.06        0.08         0.06
148.40       0.17         102.88       148.35       105.83       436238.94    6429787.36   0.06         -0.07        0.08         0.06
148.60       0.17         103.89       148.55       106.03       436238.94    6429787.36   0.06         -0.07        0.08         0.06
148.80       0.17         104.90       148.75       106.23       436238.94    6429787.36   0.06         -0.07        0.08         0.06
149.00       0.17         105.90       148.95       106.43       436238.94    6429787.36   0.06         -0.07        0.08         0.06
149.20       0.17         106.91       149.15       106.63       436238.94    6429787.36   0.06         -0.07        0.09         0.06
149.40       0.18         107.92       149.35       106.83       436238.94    6429787.36   0.07         -0.07        0.09         0.07
149.60       0.18         108.93       149.55       107.03       436238.94    6429787.36   0.07         -0.07        0.09         0.07
149.80       0.18         109.94       149.75       107.23       436238.94    6429787.36   0.07         -0.07        0.09         0.07
150.00       0.18         110.95       149.95       107.43       436238.94    6429787.36   0.07         -0.07        0.09         0.07
150.20       0.18         111.96       150.15       107.63       436238.94    6429787.36   0.07         -0.07        0.09         0.07
150.40       0.18         112.97       150.35       107.83       436238.94    6429787.36   0.07         -0.07        0.09         0.07
150.60       0.19         113.97       150.55       108.03       436238.94    6429787.36   0.07         -0.07        0.09         0.07
150.80       0.19         114.98       150.75       108.23       436238.94    6429787.36   0.07         -0.07        0.09         0.07
151.00       0.19         115.99       150.95       108.43       436238.94    6429787.36   0.07         -0.07        0.09         0.07
151.20       0.19         117.00       151.15       108.63       436238.94    6429787.36   0.07         -0.07        0.09         0.07
151.40       0.19         118.01       151.35       108.83       436238.93    6429787.37   0.07         -0.08        0.09         0.07
