HEADER INFORMATION	
----------------------------------------------------------------	
COMPANY:	BG Group
FIELD:	EXPLORATION - UTM Zone 31
WELL NAME:	15/12-19
WELLBORE NAME:	15/12-19
Drilled From	: Well Ref. Point
KICK OFF DEPTH:	N/Am 
SURVEYNAME:	Definitive
SURVEYDATE:	2008-04-21
PRINTED DATE:	2008-04-22
----------------------------------------------------------------	
CALCULATION METHOD:	Minimum Curvature
DATUM NAME:	RKB@42.52
LAT REFERENCE:	Site
----------------------------------------------------------------	
SLOT EW MAP:	436239.01m
SLOT NS MAP:	6429787.29m
SURFACE LATITUDE MAP:	58°00'13.643N
SURFACE LONGITUDE  MAP:	001°55'16.368E
BOTTOM HOLE MD:	3212.00m 
BOTTOM HOLE TVD:	3211.35m 
BOTTOM HOLE EW MAP:	436244.60m
BOTTOM HOLE NS MAP:	6429796.98m
----------------------------------------------------------------	
WATER DEPTH:	85.00m 
KB-MSL:	42.52m 
SYSTEM DATUM:	Mean Sea Level
----------------------------------------------------------------	
MAP-ZONE:	UTM Zone 31, North 0 to 6E
NORTH REFERENCE:	Grid
GEO DATUM:	ED50 (International 1924)
VSDIR:	0
----------------------------------------------------------------	
SURVEY TYPE INFORMATION
235.80    - 654.00    15_12-19; 24'' MWD+SAG+SCC : MWD+SAG+SCC
668.60    - 1336.10   15_12-19; 17½" MWD+SAG+SCC : MWD+SAG+SCC
1364.00   - 2888.80   15_12-19; 12¼" MWD+SAG+SCC : MWD+SAG+SCC
2928.10   - 3188.60   15_12-19; 8½" MWD+SAG+SCC : MWD+SAG+SCC
3212.00   - 3212.00   15_12-19; Projection to TD : BLIND

----------------------------------------------------------------	
SURVEY LIST	
MD          Inc        AZI         	TVD(RKB)   	TVDS     	X(m)        	y(m)        	NS          	EW     		DLS               Vsec        Lat              	Long
1479.40 	0.50    	289.55    	1479.08   	1436.56   	436243.63   	6429776.64    	-10.65      	4.63        	0.30        	-10.65    	58°00'13.301N	001°55'16.661E	
1508.50 	0.25    	270.38    	1508.18   	1465.66   	436243.45   	6429776.69    	-10.61      	4.44        	0.28        	-10.61    	58°00'13.302N	001°55'16.649E	
1533.40 	0.19    	286.08    	1533.08   	1490.56   	436243.36   	6429776.70    	-10.60      	4.35        	0.10        	-10.60    	58°00'13.302N	001°55'16.644E	
1565.60 	0.31    	316.15    	1565.28   	1522.76   	436243.24   	6429776.78    	-10.52      	4.24        	0.16        	-10.52    	58°00'13.305N	001°55'16.637E	
1594.90 	0.25    	323.28    	1594.58   	1552.06   	436243.15   	6429776.88    	-10.41      	4.15        	0.07        	-10.41    	58°00'13.308N	001°55'16.631E	
1624.20 	1.74    	337.98    	1623.88   	1581.36   	436242.95   	6429777.35    	-9.95       	3.94        	1.54        	-9.95     	58°00'13.323N	001°55'16.618E	
1653.10 	1.61    	349.65    	1652.77   	1610.25   	436242.71   	6429778.15    	-9.14       	3.70        	0.38        	-9.14     	58°00'13.349N	001°55'16.603E	
1681.60 	2.01    	338.97    	1681.25   	1638.73   	436242.46   	6429779.01    	-8.28       	3.45        	0.55        	-8.28     	58°00'13.377N	001°55'16.587E	
1711.00 	1.73    	335.30    	1710.64   	1668.12   	436242.09   	6429779.90    	-7.40       	3.08        	0.31        	-7.40     	58°00'13.405N	001°55'16.563E	
1740.00 	2.04    	335.90    	1739.62   	1697.10   	436241.69   	6429780.77    	-6.53       	2.69        	0.32        	-6.53     	58°00'13.433N	001°55'16.538E	
1768.90 	2.01    	333.36    	1768.50   	1725.98   	436241.26   	6429781.69    	-5.61       	2.25        	0.10        	-5.61     	58°00'13.463N	001°55'16.511E	
1797.20 	1.74    	342.59    	1796.79   	1754.27   	436240.91   	6429782.54    	-4.75       	1.90        	0.43        	-4.75     	58°00'13.490N	001°55'16.489E	
1826.50 	1.90    	332.43    	1826.07   	1783.55   	436240.55   	6429783.40    	-3.90       	1.54        	0.37        	-3.90     	58°00'13.517N	001°55'16.466E	
1855.20 	1.60    	331.01    	1854.76   	1812.24   	436240.13   	6429784.17    	-3.13       	1.13        	0.32        	-3.13     	58°00'13.542N	001°55'16.440E	
1884.70 	1.75    	333.43    	1884.25   	1841.73   	436239.73   	6429784.93    	-2.36       	0.73        	0.17        	-2.36     	58°00'13.567N	001°55'16.415E	
1913.60 	1.79    	337.95    	1913.13   	1870.61   	436239.37   	6429785.74    	-1.55       	0.36        	0.15        	-1.55     	58°00'13.593N	001°55'16.392E	
1942.40 	1.72    	338.72    	1941.92   	1899.40   	436239.04   	6429786.56    	-0.73       	0.03        	0.08        	-0.73     	58°00'13.619N	001°55'16.371E	
1971.20 	1.55    	343.36    	1970.71   	1928.19   	436238.77   	6429787.34    	0.05        	-0.23       	0.22        	0.05      	58°00'13.644N	001°55'16.354E	
1999.30 	1.69    	343.76    	1998.80   	1956.28   	436238.55   	6429788.10    	0.81        	-0.46       	0.15        	0.81      	58°00'13.668N	001°55'16.340E	
2029.20 	1.39    	342.67    	2028.69   	1986.17   	436238.32   	6429788.87    	1.58        	-0.69       	0.30        	1.58      	58°00'13.693N	001°55'16.325E	
2058.20 	1.35    	332.23    	2057.68   	2015.16   	436238.05   	6429789.51    	2.21        	-0.95       	0.26        	2.21      	58°00'13.714N	001°55'16.308E	
2087.10 	1.48    	329.03    	2086.57   	2044.05   	436237.70   	6429790.13    	2.84        	-1.31       	0.16        	2.84      	58°00'13.734N	001°55'16.286E	
2116.10 	1.27    	333.64    	2115.56   	2073.04   	436237.37   	6429790.74    	3.45        	-1.64       	0.25        	3.45      	58°00'13.753N	001°55'16.265E	
2145.10 	1.21    	320.89    	2144.55   	2102.03   	436237.03   	6429791.26    	3.97        	-1.98       	0.29        	3.97      	58°00'13.770N	001°55'16.244E	
2174.00 	1.18    	325.91    	2173.45   	2130.93   	436236.67   	6429791.75    	4.45        	-2.34       	0.11        	4.45      	58°00'13.785N	001°55'16.222E	
2203.00 	0.98    	336.86    	2202.44   	2159.92   	436236.41   	6429792.22    	4.93        	-2.60       	0.30        	4.93      	58°00'13.801N	001°55'16.205E	
2231.70 	0.55    	297.20    	2231.14   	2188.62   	436236.19   	6429792.51    	5.22        	-2.82       	0.69        	5.22      	58°00'13.810N	001°55'16.192E	
2260.70 	0.61    	301.46    	2260.14   	2217.62   	436235.93   	6429792.65    	5.36        	-3.08       	0.08        	5.36      	58°00'13.814N	001°55'16.176E	
2289.70 	0.70    	309.61    	2289.14   	2246.62   	436235.66   	6429792.85    	5.56        	-3.34       	0.13        	5.56      	58°00'13.820N	001°55'16.160E	
2318.60 	0.72    	327.77    	2318.03   	2275.51   	436235.43   	6429793.11    	5.82        	-3.58       	0.23        	5.82      	58°00'13.829N	001°55'16.145E	
2347.50 	0.75    	328.09    	2346.93   	2304.41   	436235.24   	6429793.43    	6.14        	-3.77       	0.03        	6.14      	58°00'13.839N	001°55'16.133E	
2376.50 	0.37    	325.07    	2375.93   	2333.41   	436235.08   	6429793.67    	6.37        	-3.93       	0.39        	6.37      	58°00'13.847N	001°55'16.123E	
2405.20 	0.19    	59.78     	2404.63   	2362.11   	436235.07   	6429793.77    	6.47        	-3.94       	0.45        	6.47      	58°00'13.850N	001°55'16.122E	
2436.90 	0.36    	6.40      	2436.33   	2393.81   	436235.13   	6429793.89    	6.60        	-3.88       	0.27        	6.60      	58°00'13.854N	001°55'16.126E	
2462.90 	0.39    	48.55     	2462.33   	2419.81   	436235.20   	6429794.03    	6.74        	-3.81       	0.31        	6.74      	58°00'13.858N	001°55'16.130E	
2492.10 	0.41    	59.84     	2491.53   	2449.01   	436235.37   	6429794.15    	6.86        	-3.64       	0.08        	6.86      	58°00'13.862N	001°55'16.140E	
2520.50 	0.41    	65.47     	2519.93   	2477.41   	436235.55   	6429794.24    	6.95        	-3.46       	0.04        	6.95      	58°00'13.865N	001°55'16.151E	
2548.80 	0.48    	55.36     	2548.23   	2505.71   	436235.74   	6429794.35    	7.06        	-3.27       	0.11        	7.06      	58°00'13.869N	001°55'16.162E	
2579.20 	0.37    	48.12     	2578.63   	2536.11   	436235.91   	6429794.49    	7.20        	-3.09       	0.12        	7.20      	58°00'13.874N	001°55'16.173E	
2608.10 	0.66    	61.58     	2607.52   	2565.00   	436236.13   	6429794.63    	7.34        	-2.88       	0.32        	7.34      	58°00'13.878N	001°55'16.186E	
