HEADER INFORMATION 
----------------------------------------------------------------
COMPANY: STATOIL NORWAY
FIELD:  EXPLORATION - UTM Zone 31
WELL NAME: 15/6-12
WELLBORE NAME: 15/6-12 McHenry
Drilled From: Surface
Kick Off Depth: 0.00m
Survey Name: 15/6-12 McHenry
Survey Date: 16.02.2011
Extraction Date: 12.08.2011
----------------------------------------------------------------
Calculation Method: Minimum Curvature
Datum Name: WELL
LAT Reference: Site
----------------------------------------------------------------
Slot EW Map: 426697.000m
Slot NS Map: 6499708.000m
Surface Latitude Map: 58° 37' 48.515 N
Surface Longitude Map: 1° 44' 15.483 E
Bottom Hole MD: 3930.00m
Bottom Hole TVD: 3929.65m
Bottom Hole EW Map: 426694.704m
Bottom Hole NS Map: 6499691.286m
----------------------------------------------------------------
Water Depth: 115.50m
KB-WH: 23.50m
KB-MSL: 23.50m
System Datum: Mean Sea Level
----------------------------------------------------------------
Map-Zone: Zone 31N (0 E to 6 E)
North Reference: Grid
Geo Datum: European 1950 - Mean
VSDIR: 360
----------------------------------------------------------------
SURVEY LIST
MD        Inc       Azim      TVD       X-Offset (E/W)  Y-Offset (N/S)  UTM E/W         UTM N/S         DLS
m RKB     deg       deg       m RKB     m               m               m               m               deg/30m
3322.79   0.86      204.00    3322.70   3.940           -1.255          426700.939      6499706.745     0.15      
3409.94   1.00      200.45    3409.83   3.409           -2.565          426700.408      6499705.436     0.05      
3428.24   1.02      207.63    3428.13   3.277           -2.859          426700.276      6499705.142     0.21      
3459.12   1.02      203.23    3459.01   3.041           -3.355          426700.040      6499704.646     0.08      
3516.29   1.30      212.09    3516.16   2.496           -4.372          426699.495      6499703.629     0.17      
3545.15   1.44      207.03    3545.02   2.158           -4.973          426699.157      6499703.029     0.19      
3573.71   1.60      212.33    3573.57   1.781           -5.629          426698.781      6499702.373     0.22      
3603.53   1.67      209.74    3603.37   1.343           -6.358          426698.343      6499701.644     0.10      
3609.89   1.76      209.47    3609.73   1.249           -6.524          426698.249      6499701.478     0.43      
3640.43   1.64      209.55    3640.26   0.803           -7.312          426697.802      6499700.690     0.12      
3669.83   1.66      203.73    3669.65   0.424           -8.068          426697.424      6499699.935     0.17      
3682.18   1.71      200.12    3681.99   0.289           -8.405          426697.288      6499699.598     0.28      
3696.34   1.70      197.94    3696.14   0.151           -8.803          426697.151      6499699.200     0.14      
3710.31   1.74      200.10    3710.11   0.014           -9.199          426697.014      6499698.804     0.16      
3723.99   1.69      197.86    3723.78   -0.119          -9.586          426696.881      6499698.417     0.18      
3780.23   1.87      192.58    3779.99   -0.573          -11.271         426696.427      6499696.732     0.13      
3851.68   2.25      198.46    3851.40   -1.271          -13.740         426695.729      6499694.265     0.18      
3880.73   2.37      198.46    3880.42   -1.642          -14.850         426695.359      6499693.155     0.12      
3907.69   2.28      199.63    3907.36   -1.998          -15.884         426695.002      6499692.121     0.11      
3930.00   2.28      199.63    3929.65   -2.297          -16.720         426694.704      6499691.286     0.00      
