Data from WELLPATH_ORIGINAL_SURVEY_POINTS_1.ASC has been resampled to 0.2 
meters and linearly interpolated between original survey points. Computed 
2011-08-31

HEADER INFORMATION 
----------------------------------------------------------------
COMPANY: STATOIL NORWAY
FIELD:  EXPLORATION - UTM Zone 31
WELL NAME: 15/6-12
WELLBORE NAME: 15/6-12 McHenry
Drilled From: Surface
Kick Off Depth: 0.00m
Survey Name: 15/6-12 McHenry
Survey Date: 16.02.2011
Extraction Date: 12.08.2011
----------------------------------------------------------------
Calculation Method: Minimum Curvature
Datum Name: WELL
LAT Reference: Site
----------------------------------------------------------------
Slot EW Map: 426697.000m
Slot NS Map: 6499708.000m
Surface Latitude Map: 58° 37' 48.515 N
Surface Longitude Map: 1° 44' 15.483 E
Bottom Hole MD: 3930.00m
Bottom Hole TVD: 3929.65m
Bottom Hole EW Map: 426694.704m
Bottom Hole NS Map: 6499691.286m
----------------------------------------------------------------
Water Depth: 115.50m
KB-WH: 23.50m
KB-MSL: 23.50m
System Datum: Mean Sea Level
----------------------------------------------------------------
Map-Zone: Zone 31N (0 E to 6 E)
North Reference: Grid
Geo Datum: European 1950 - Mean
VSDIR: 360
----------------------------------------------------------------
SURVEY LIST
MD             Inc            Azim           TVD            X-Offset (E/W) Y-Offset (N/S) UTM E/W        UTM N/S        DLS
m RKB          deg            deg            m RKB          m              m              m              m              deg/30m
17.00          0.00           44.03          17.00          0.000          0.000          426697.000     6499708.000    0.00
17.20          0.00           44.55          17.20          0.000          0.000          426697.000     6499708.000    0.00
17.40          0.00           45.06          17.40          0.000          0.000          426697.000     6499708.000    0.00
17.60          0.00           45.58          17.60          0.000          0.000          426697.000     6499708.000    0.00
17.80          0.00           46.10          17.80          0.000          0.000          426697.000     6499708.000    0.00
18.00          0.00           46.62          18.00          0.000          0.000          426697.000     6499708.000    0.00
18.20          0.00           47.14          18.20          0.000          0.000          426697.000     6499708.000    0.00
18.40          0.00           47.65          18.40          0.000          0.000          426697.000     6499708.000    0.00
18.60          0.00           48.17          18.60          0.000          0.000          426697.000     6499708.000    0.00
18.80          0.00           48.69          18.80          0.000          0.000          426697.000     6499708.000    0.00
19.00          0.00           49.21          19.00          0.000          0.000          426697.000     6499708.000    0.00
19.20          0.00           49.73          19.20          0.000          0.000          426697.000     6499708.000    0.00
19.40          0.00           50.24          19.40          0.000          0.000          426697.000     6499708.000    0.00
19.60          0.00           50.76          19.60          0.000          0.000          426697.000     6499708.000    0.00
19.80          0.00           51.28          19.80          0.000          0.000          426697.000     6499708.000    0.00
20.00          0.00           51.80          20.00          0.000          0.000          426697.000     6499708.000    0.00
20.20          0.00           52.32          20.20          0.000          0.000          426697.000     6499708.000    0.00
20.40          0.00           52.83          20.40          0.000          0.000          426697.000     6499708.000    0.00
20.60          0.00           53.35          20.60          0.000          0.000          426697.000     6499708.000    0.00
20.80          0.00           53.87          20.80          0.000          0.000          426697.000     6499708.000    0.00
21.00          0.00           54.39          21.00          0.000          0.000          426697.000     6499708.000    0.00
21.20          0.00           54.91          21.20          0.000          0.000          426697.000     6499708.000    0.00
21.40          0.00           55.42          21.40          0.000          0.000          426697.000     6499708.000    0.00
21.60          0.00           55.94          21.60          0.000          0.000          426697.000     6499708.000    0.00
21.80          0.00           56.46          21.80          0.000          0.000          426697.000     6499708.000    0.00
22.00          0.00           56.98          22.00          0.000          0.000          426697.000     6499708.000    0.00
22.20          0.00           57.50          22.20          0.000          0.000          426697.000     6499708.000    0.00
22.40          0.00           58.01          22.40          0.000          0.000          426697.000     6499708.000    0.00
22.60          0.00           58.53          22.60          0.000          0.000          426697.000     6499708.000    0.00
22.80          0.00           59.05          22.80          0.000          0.000          426697.000     6499708.000    0.00
23.00          0.00           59.57          23.00          0.000          0.000          426697.000     6499708.000    0.00
23.20          0.00           60.09          23.20          0.000          0.000          426697.000     6499708.000    0.00
23.40          0.00           60.60          23.40          0.000          0.000          426697.000     6499708.000    0.00
23.60          0.00           61.12          23.60          0.000          0.000          426697.000     6499708.000    0.00
23.80          0.00           61.64          23.80          0.000          0.000          426697.000     6499708.000    0.00
24.00          0.00           62.16          24.00          0.000          0.000          426697.000     6499708.000    0.00
24.20          0.00           62.68          24.20          0.000          0.000          426697.000     6499708.000    0.00
24.40          0.00           63.19          24.40          0.000          0.000          426697.000     6499708.000    0.00
24.60          0.00           63.71          24.60          0.000          0.000          426697.000     6499708.000    0.00
24.80          0.00           64.23          24.80          0.000          0.000          426697.000     6499708.000    0.00
25.00          0.00           64.75          25.00          0.000          0.000          426697.000     6499708.000    0.00
25.20          0.00           65.27          25.20          0.000          0.000          426697.000     6499708.000    0.00
25.40          0.00           65.78          25.40          0.000          0.000          426697.000     6499708.000    0.00
25.60          0.00           66.30          25.60          0.000          0.000          426697.000     6499708.000    0.00
25.80          0.00           66.82          25.80          0.000          0.000          426697.000     6499708.000    0.00
26.00          0.00           67.34          26.00          0.000          0.000          426697.000     6499708.000    0.00
26.20          0.00           67.86          26.20          0.000          0.000          426697.000     6499708.000    0.00
26.40          0.00           68.37          26.40          0.000          0.000          426697.000     6499708.000    0.00
26.60          0.00           68.89          26.60          0.000          0.000          426697.000     6499708.000    0.00
26.80          0.00           69.41          26.80          0.000          0.000          426697.000     6499708.000    0.00
27.00          0.00           69.93          27.00          0.000          0.000          426697.000     6499708.000    0.00
27.20          0.00           70.45          27.20          0.000          0.000          426697.000     6499708.000    0.00
27.40          0.00           70.96          27.40          0.000          0.000          426697.000     6499708.000    0.00
27.60          0.00           71.48          27.60          0.000          0.000          426697.000     6499708.000    0.00
27.80          0.00           72.00          27.80          0.000          0.000          426697.000     6499708.000    0.00
28.00          0.00           72.52          28.00          0.000          0.000          426697.000     6499708.000    0.00
28.20          0.00           73.04          28.20          0.000          0.000          426697.000     6499708.000    0.00
28.40          0.00           73.55          28.40          0.000          0.000          426697.000     6499708.000    0.00
28.60          0.00           74.07          28.60          0.000          0.000          426697.000     6499708.000    0.00
28.80          0.00           74.59          28.80          0.000          0.000          426697.000     6499708.000    0.00
29.00          0.00           75.11          29.00          0.000          0.000          426697.000     6499708.000    0.00
